Downloaded from wid.world on 30-01-2024 at 21:27:21
Percentile;Year;"sptinc_992_j_CA
Pre-tax national income 
Top 1% | share | adults | equal split
Canada";"sptinc_992_j_FR
Pre-tax national income 
Top 1% | share | adults | equal split
France";"sptinc_992_j_DE
Pre-tax national income 
Top 1% | share | adults | equal split
Germany";"sptinc_992_j_IT
Pre-tax national income 
Top 1% | share | adults | equal split
Italy";"sptinc_992_j_JP
Pre-tax national income 
Top 1% | share | adults | equal split
Japan";"sptinc_992_j_GB
Pre-tax national income 
Top 1% | share | adults | equal split
United Kingdom";"sptinc_992_j_US
Pre-tax national income 
Top 1% | share | adults | equal split
USA"
p99p100;1995;0.0988;0.0933;0.0916;0.0888;0.1041;0.1037;0.1452
p99p100;1996;0.1039;0.1015;0.0973;0.0908;0.1107;0.1193;0.1525
p99p100;1997;0.1113;0.1056;0.1022;0.092;0.1048;0.1229;0.16
p99p100;1998;0.1127;0.108;0.1067;0.0963;0.1037;0.1323;0.1632
p99p100;1999;0.1183;0.107;0.1051;0.094;0.1063;0.1234;0.1676
p99p100;2000;0.1269;0.1114;0.1046;0.1;0.113;0.1194;0.1734
p99p100;2001;0.1271;0.1144;0.104;0.1044;0.1155;0.1188;0.1659
p99p100;2002;0.1279;0.1107;0.1034;0.1001;0.1184;0.1221;0.161
p99p100;2003;0.1306;0.1147;0.0982;0.1008;0.1231;0.1345;0.1632
p99p100;2004;0.1359;0.1172;0.1054;0.0991;0.1311;0.1324;0.1706
p99p100;2005;0.1402;0.1157;0.1207;0.0983;0.1355;0.1442;0.1806
p99p100;2006;0.1421;0.1133;0.1236;0.0987;0.1371;0.1465;0.1852
p99p100;2007;0.1421;0.1179;0.1329;0.0962;0.1374;0.1476;0.1838
p99p100;2008;0.1347;0.1172;0.1316;0.0867;0.1299;0.1387;0.1793
p99p100;2009;0.1186;0.1027;0.1284;0.0889;0.1227;0.1389;0.167
p99p100;2010;0.1235;0.1091;0.1294;0.0939;0.1283;0.1228;0.1789
p99p100;2011;0.1228;0.1154;0.1268;0.1062;0.1265;0.132;0.1808
p99p100;2012;0.1162;0.1052;0.1256;0.1139;0.1272;0.1276;0.1949
p99p100;2013;0.1161;0.1066;0.1295;0.1105;0.1289;0.1371;0.1846
p99p100;2014;0.1144;0.1082;0.1312;0.1123;0.1286;0.1328;0.1897
p99p100;2015;0.1149;0.1034;0.1309;0.1056;0.1296;0.1223;0.1889
p99p100;2016;0.099;0.1039;0.1307;0.1244;0.129;0.1242;0.1866
p99p100;2017;0.1053;0.1075;0.1301;0.1288;0.1286;0.1339;0.1905
p99p100;2018;0.1053;0.1171;0.1285;0.1277;0.1286;0.1302;0.1924
p99p100;2019;0.1039;0.1136;0.1373;0.1263;0.1286;0.1309;0.1904
p99p100;2020;0.1059;0.111;0.1366;0.124;0.1286;0.1353;0.186
p99p100;2021;0.1059;0.1269;0.1055;0.1274;0.1286;0.1029;0.202
