Downloaded from wid.world on 30-01-2024 at 20:49:48
Percentile;Year;"shweal_992_j_CA
Net personal wealth
Top 10% | share | adults | equal split
Canada";"shweal_992_j_FR
Net personal wealth
Top 10% | share | adults | equal split
France";"shweal_992_j_DE
Net personal wealth
Top 10% | share | adults | equal split
Germany";"shweal_992_j_IT
Net personal wealth
Top 10% | share | adults | equal split
Italy";"shweal_992_j_JP
Net personal wealth
Top 10% | share | adults | equal split
Japan";"shweal_992_j_GB
Net personal wealth
Top 10% | share | adults | equal split
United Kingdom";"shweal_992_j_US
Net personal wealth
Top 10% | share | adults | equal split
USA"
p90p100;1995;0.5701;0.5334;0.5632;0.4472;0.5721;0.5249;0.6607
p90p100;1996;0.5712;0.5634;0.5642;0.4546;0.5737;0.5398;0.6647
p90p100;1997;0.5729;0.5775;0.5649;0.4619;0.5726;0.5651;0.6717
p90p100;1998;0.5736;0.5916;0.5659;0.47;0.5734;0.5669;0.6784
p90p100;1999;0.5749;0.5954;0.5638;0.4688;0.5748;0.5487;0.6784
p90p100;2000;0.5799;0.5981;0.5626;0.4703;0.578;0.5576;0.6787
p90p100;2001;0.5781;0.5908;0.5618;0.5262;0.5792;0.5511;0.6717
p90p100;2002;0.5771;0.577;0.5619;0.5823;0.5813;0.5545;0.672
p90p100;2003;0.5775;0.5701;0.5616;0.5882;0.5845;0.5451;0.6739
p90p100;2004;0.5798;0.5628;0.5674;0.5957;0.5884;0.5408;0.6783
p90p100;2005;0.5822;0.554;0.5763;0.5723;0.5887;0.5415;0.6791
p90p100;2006;0.5841;0.557;0.5811;0.5538;0.589;0.545;0.6799
p90p100;2007;0.5849;0.5621;0.5898;0.5516;0.5894;0.5446;0.684
p90p100;2008;0.583;0.5568;0.5929;0.5461;0.5882;0.5381;0.6943
p90p100;2009;0.5764;0.5632;0.5879;0.5556;0.5842;0.5438;0.697
p90p100;2010;0.5794;0.5802;0.5809;0.5709;0.5854;0.5459;0.7087
p90p100;2011;0.5803;0.5725;0.5763;0.5796;0.5851;0.558;0.7171
p90p100;2012;0.5785;0.5672;0.5705;0.5948;0.5853;0.5567;0.7256
p90p100;2013;0.5807;0.573;0.5707;0.5849;0.586;0.5674;0.729
p90p100;2014;0.5823;0.5771;0.5722;0.5811;0.5856;0.5781;0.7285
p90p100;2015;0.5835;0.577;0.5724;0.5629;0.586;0.5665;0.7264
p90p100;2016;0.5777;0.5766;0.5735;0.5608;0.5859;0.5711;0.7225
p90p100;2017;0.5816;0.5761;0.5745;0.5625;0.5858;0.5749;0.7084
p90p100;2018;0.5819;0.5764;0.5763;0.5624;0.5858;0.5707;0.7068
p90p100;2019;0.5813;0.5769;0.5764;0.5619;0.5859;0.5692;0.7067
p90p100;2020;0.5798;0.5769;0.5764;0.5619;0.5859;0.5683;0.7068
p90p100;2021;0.5829;0.5769;0.5764;0.5619;0.5869;0.5698;0.7068
