Downloaded from wid.world on 30-01-2024 at 20:38:33
Percentile;Year;"sptinc_992_j_CA
Pre-tax national income 
Top 10% | share | adults | equal split
Canada";"sptinc_992_j_FR
Pre-tax national income 
Top 10% | share | adults | equal split
France";"sptinc_992_j_DE
Pre-tax national income 
Top 10% | share | adults | equal split
Germany";"sptinc_992_j_IT
Pre-tax national income 
Top 10% | share | adults | equal split
Italy";"sptinc_992_j_JP
Pre-tax national income 
Top 10% | share | adults | equal split
Japan";"sptinc_992_j_GB
Pre-tax national income 
Top 10% | share | adults | equal split
United Kingdom";"sptinc_992_j_US
Pre-tax national income 
Top 10% | share | adults | equal split
USA"
p90p100;1995;0.3317;0.3208;0.314;0.3353;0.3789;0.3532;0.399
p90p100;1996;0.3383;0.3262;0.3235;0.3396;0.388;0.3654;0.408
p90p100;1997;0.3464;0.3286;0.3314;0.3428;0.3856;0.3634;0.4155
p90p100;1998;0.3486;0.3315;0.3375;0.3497;0.3894;0.3733;0.4192
p90p100;1999;0.3537;0.3306;0.3378;0.3494;0.3964;0.3747;0.4228
p90p100;2000;0.3648;0.3345;0.339;0.3579;0.4075;0.367;0.4273
p90p100;2001;0.365;0.3379;0.3406;0.3619;0.4201;0.3719;0.4194
p90p100;2002;0.366;0.3322;0.3419;0.3566;0.4301;0.3745;0.4149
p90p100;2003;0.3695;0.3359;0.3339;0.356;0.4375;0.3871;0.4164
p90p100;2004;0.3756;0.3384;0.3402;0.3574;0.4472;0.3793;0.4242
p90p100;2005;0.3807;0.3367;0.3527;0.3503;0.4493;0.3878;0.4359
p90p100;2006;0.3838;0.3347;0.3524;0.352;0.4515;0.3867;0.4429
p90p100;2007;0.3838;0.3418;0.3693;0.3541;0.4532;0.389;0.4404
p90p100;2008;0.3758;0.3415;0.3675;0.3379;0.4448;0.367;0.4356
p90p100;2009;0.3588;0.3246;0.3701;0.3373;0.4352;0.3788;0.4245
p90p100;2010;0.3652;0.3283;0.3718;0.3458;0.4431;0.3486;0.4381
p90p100;2011;0.3647;0.335;0.3682;0.3525;0.4414;0.3586;0.4426
p90p100;2012;0.3582;0.3248;0.3674;0.3608;0.4417;0.3669;0.4559
p90p100;2013;0.3587;0.3273;0.3802;0.3615;0.4427;0.3864;0.449
p90p100;2014;0.3565;0.3285;0.3849;0.3575;0.4424;0.3677;0.4558
p90p100;2015;0.3539;0.3334;0.3839;0.3493;0.4432;0.3558;0.455
p90p100;2016;0.3413;0.3338;0.3834;0.3682;0.4427;0.3567;0.4536
p90p100;2017;0.3481;0.336;0.3806;0.3763;0.4424;0.3612;0.4546
p90p100;2018;0.346;0.3426;0.3762;0.3759;0.4424;0.3606;0.4581
p90p100;2019;0.3438;0.3398;0.4023;0.3743;0.4424;0.3706;0.4567
p90p100;2020;0.3518;0.3374;0.4002;0.3715;0.4424;0.3754;0.4649
p90p100;2021;0.3518;0.3479;0.3444;0.3818;0.4424;0.338;0.4785
